id	display_name	category	method	identifier	executables	homepage	source_repository	license	needs_root	network_service	requires_docker	gui	update_method	verification_command	profile	notes_or_conflicts
oletools	oletools	forensics	pipx	oletools	olevba	https://www.decalage.info/python/oletools	https://github.com/decalage2/oletools	BSD-2-Clause	false	false	false	false	pipx	olevba --version	standard	Includes pdfid.py and office analyzers
pefile	pefile	forensics	apt	python3-pefile	pefile	https://github.com/erocarrera/pefile	https://github.com/erocarrera/pefile	MIT	false	false	false	false	apt	python3 -c 'import pefile'	full	Python library; command availability can vary
flare-capa	FLARE capa	forensics	pipx	flare-capa	capa	https://mandiant.github.io/capa	https://github.com/mandiant/capa	Apache-2.0	false	false	false	false	pipx	capa --version	standard	Rules are bundled by upstream
awscli	AWS CLI	cloud	apt	awscli	aws	https://aws.amazon.com/cli	https://github.com/aws/aws-cli	Apache-2.0	false	false	false	false	apt	aws --version	standard	Credentials are never requested during install
azure-cli	Azure CLI	cloud	manual	azure-cli	az	https://learn.microsoft.com/cli/azure	https://github.com/Azure/azure-cli	MIT	true	false	false	false	vendor	az version	optional	Optional Microsoft repository; explicit trust decision
google-cloud-cli	Google Cloud CLI	cloud	manual	google-cloud-cli	gcloud	https://cloud.google.com/sdk	https://github.com/twistedpair/google-cloud-sdk	Apache-2.0	true	false	false	false	vendor	gcloud version	optional	Optional Google repository; explicit trust decision
kubectl	kubectl	cloud	manual	kubectl	kubectl	https://kubernetes.io/docs/reference/kubectl	https://github.com/kubernetes/kubernetes	Apache-2.0	false	false	false	false	manual	kubectl version --client	full	Use official checksum-verified binary
helm	Helm	cloud	manual	helm	helm	https://helm.sh	https://github.com/helm/helm	Apache-2.0	false	false	false	false	manual	helm version	full	Use official checksum-verified binary
k9s	K9s	cloud	manual	k9s	k9s	https://k9scli.io	https://github.com/derailed/k9s	Apache-2.0	false	false	false	false	manual	k9s version	full	Use verified release archive
trivy	Trivy	cloud	manual	trivy	trivy	https://trivy.dev	https://github.com/aquasecurity/trivy	Apache-2.0	false	false	false	false	manual	trivy --version	full	Official signed repository or checksummed binary
grype	Grype	cloud	manual	grype	grype	https://github.com/anchore/grype	https://github.com/anchore/grype	Apache-2.0	false	false	false	false	manual	grype version	full	Verified release required
syft	Syft	cloud	manual	syft	syft	https://github.com/anchore/syft	https://github.com/anchore/syft	Apache-2.0	false	false	false	false	manual	syft version	full	Verified release required
cosign	Cosign	cloud	manual	cosign	cosign	https://docs.sigstore.dev/cosign	https://github.com/sigstore/cosign	Apache-2.0	false	false	false	false	manual	cosign version	full	Verify using Sigstore release procedures
kubescape	Kubescape	cloud	manual	kubescape	kubescape	https://kubescape.io	https://github.com/kubescape/kubescape	Apache-2.0	false	false	false	false	manual	kubescape version	full	Verified release required
kube-bench	kube-bench	cloud	manual	kube-bench	kube-bench	https://aquasecurity.github.io/kube-bench	https://github.com/aquasecurity/kube-bench	Apache-2.0	true	false	false	false	manual	kube-bench version	full	Host access depends on audit scope
kube-hunter	kube-hunter	cloud	pipx	kube-hunter	kube-hunter	https://aquasecurity.github.io/kube-hunter	https://github.com/aquasecurity/kube-hunter	Apache-2.0	false	false	false	false	pipx	kube-hunter --version	full	Never scans automatically
scoutsuite	ScoutSuite	cloud	pipx	scoutsuite	scout	https://github.com/nccgroup/ScoutSuite	https://github.com/nccgroup/ScoutSuite	GPL-2.0	false	false	false	false	pipx	scout --version	standard	Credentials are operator-supplied at runtime
prowler	Prowler	cloud	manual	prowler	prowler	https://prowler.com	https://github.com/prowler-cloud/prowler	Apache-2.0	false	false	false	false	manual	prowler --version	full	Prefer upstream container or isolated Python install
pacu	Pacu	cloud	pipx	pacu	pacu	https://rhinosecuritylabs.com/aws/pacu	https://github.com/RhinoSecurityLabs/pacu	BSD-3-Clause	false	false	false	false	pipx	pacu --help	full	No credential setup during install
cloud-enum	cloud_enum	cloud	manual	cloud-enum	cloud_enum	https://github.com/initstring/cloud_enum	https://github.com/initstring/cloud_enum	MIT	false	false	false	false	manual	cloud_enum --help	full	Pinned source script; upstream is not pipx-installable
cloudfox	CloudFox	cloud	go	cloudfox	cloudfox	https://github.com/BishopFox/cloudfox	https://github.com/BishopFox/cloudfox	MIT	false	false	false	false	go	cloudfox --help	full	Credentials remain operator-managed
podman	Podman	containers	apt	podman	podman	https://podman.io	https://github.com/containers/podman	Apache-2.0	false	optional	false	false	apt	podman --version	full	Supports rootless use
skopeo	Skopeo	containers	apt	skopeo	skopeo	https://github.com/containers/skopeo	https://github.com/containers/skopeo	Apache-2.0	false	false	false	false	apt	skopeo --version	full	-
dive	Dive	containers	manual	dive	dive	https://github.com/wagoodman/dive	https://github.com/wagoodman/dive	MIT	false	false	false	false	manual	dive --version	full	Verified release required
docker	Docker Engine	containers	apt	docker.io	docker	https://www.docker.com	https://github.com/moby/moby	Apache-2.0	true	true	false	false	apt	docker --version	standard	Docker group membership is root-equivalent and opt-in
docker-compose	Docker Compose	containers	apt	docker-compose	docker-compose	https://docs.docker.com/compose	https://github.com/docker/compose	Apache-2.0	true	optional	false	false	apt	docker compose version	standard	Debian 13 package provides Compose v2
aircrack-ng	Aircrack-ng	wireless	apt	aircrack-ng	aircrack-ng	https://www.aircrack-ng.org	https://github.com/aircrack-ng/aircrack-ng	GPL-2.0+	true	false	false	false	apt	aircrack-ng --help	optional	Wireless category opt-in; no monitor mode changes
reaver	Reaver	wireless	apt	reaver	reaver	https://github.com/t6x/reaver-wps-fork-t6x	https://github.com/t6x/reaver-wps-fork-t6x	GPL-2.0	true	false	false	false	apt	reaver -h	optional	Compatible hardware required
bully	Bully	wireless	apt	bully	bully	https://github.com/aanarchyy/bully	https://github.com/aanarchyy/bully	GPL-3.0	true	false	false	false	apt	bully -h	optional	Compatible hardware required
hcxtools	hcxtools	wireless	apt	hcxtools	hcxpcapngtool	https://github.com/ZerBea/hcxtools	https://github.com/ZerBea/hcxtools	MIT	false	false	false	false	apt	hcxpcapngtool --version	optional	-
iw	iw	wireless	apt	iw	iw	https://wireless.wiki.kernel.org/en/users/documentation/iw	https://git.kernel.org/pub/scm/linux/kernel/git/jberg/iw.git	ISC	true	false	false	false	apt	iw --version	optional	NetworkManager is not modified
wireless-tools	Wireless Tools	wireless	apt	wireless-tools	iwconfig	https://hewlettpackard.github.io/wireless-tools	https://hewlettpackard.github.io/wireless-tools	GPL-2.0	true	false	false	false	apt	iwconfig --version	optional	Legacy but useful for some adapters
rfkill	rfkill	wireless	apt	rfkill	rfkill	https://www.kernel.org/pub/linux/utils/util-linux	https://github.com/util-linux/util-linux	GPL-2.0	true	false	false	false	apt	rfkill --version	optional	No radio state is changed during install
hostapd	hostapd	wireless	apt	hostapd	hostapd	https://w1.fi/hostapd	https://w1.fi/cgit/hostap.git	BSD-3-Clause	true	optional	false	false	apt	hostapd -v	optional	Service is not enabled or started
wpasupplicant	wpa_supplicant	wireless	apt	wpasupplicant	wpa_supplicant	https://w1.fi/wpa_supplicant	https://w1.fi/cgit/hostap.git	BSD-3-Clause	true	optional	false	false	apt	wpa_supplicant -v	optional	Existing networking is not reconfigured
kismet	Kismet	wireless	manual	kismet	kismet	https://www.kismetwireless.net	https://github.com/kismetwireless/kismet	GPL-2.0+	true	optional	false	true	manual	kismet --version	optional	Not packaged in Trixie; vendor repository is not added automatically
theharvester	theHarvester	osint	pipx	theharvester	theHarvester	https://github.com/laramies/theHarvester	https://github.com/laramies/theHarvester	GPL-2.0	false	false	false	false	pipx	theHarvester --help	standard	API keys remain user-managed
spiderfoot	SpiderFoot	osint	docker	spiderfoot	spiderfoot	https://www.spiderfoot.net	https://github.com/smicallef/spiderfoot	MIT	true	true	true	true	docker-compose	manual	optional	Optional localhost-only stack
recon-ng	Recon-ng	osint	manual	recon-ng	recon-ng	https://github.com/lanmaster53/recon-ng	https://github.com/lanmaster53/recon-ng	GPL-3.0	false	false	false	false	manual	recon-ng --help	full	Pinned source script; upstream is not pipx-installable
sherlock-project	Sherlock	osint	pipx	sherlock-project	sherlock	https://sherlock-project.github.io	https://github.com/sherlock-project/sherlock	MIT	false	false	false	false	pipx	sherlock --version	standard	-
maigret	Maigret	osint	pipx	maigret	maigret	https://github.com/soxoj/maigret	https://github.com/soxoj/maigret	MIT	false	false	false	false	pipx	maigret --version	full	-
holehe	holehe	osint	pipx	holehe	holehe	https://github.com/megadose/holehe	https://github.com/megadose/holehe	GPL-3.0	false	false	false	false	pipx	holehe --help	full	-
photon	Photon	osint	manual	photon	photon.py	https://github.com/s0md3v/Photon	https://github.com/s0md3v/Photon	GPL-3.0	false	false	false	false	manual	manual	full	Source-only; review dependencies
seclists	SecLists	wordlists	manual	SecLists	seclists	https://www.kali.org/tools/seclists	https://github.com/danielmiessler/SecLists	MIT	true	false	false	false	git	test -d /usr/share/wordlists/seclists	standard	Optional controlled shallow clone; large download
rockyou	rockyou.txt	wordlists	manual	rockyou	rockyou.txt	https://packages.debian.org/trixie/wordlists	-	Various	true	false	false	false	apt	test -f /usr/share/wordlists/rockyou.txt	full	Never downloaded from unofficial mirrors
payloadsallthethings	PayloadsAllTheThings	wordlists	manual	PayloadsAllTheThings	payloadsallthethings	https://swisskyrepo.github.io/PayloadsAllTheThings	https://github.com/swisskyrepo/PayloadsAllTheThings	MIT	true	false	false	false	git	test -d /usr/share/wordlists/payloadsallthethings	standard	Optional controlled shallow clone
fuzzdb	fuzzdb	wordlists	manual	fuzzdb	fuzzdb	https://github.com/fuzzdb-project/fuzzdb	https://github.com/fuzzdb-project/fuzzdb	GPL-2.0	true	false	false	false	git	manual	optional	Large optional repository; maintenance is intermittent
xfce	XFCE Desktop	desktop	apt	xfce4	xfce4-session	https://xfce.org	https://gitlab.xfce.org/xfce	GPL-2.0+	true	false	false	true	apt	xfce4-session --version	optional	Installed only with --desktop xfce
gnome	GNOME Desktop	desktop	apt	gnome-core	gnome-shell	https://www.gnome.org	https://gitlab.gnome.org/GNOME	GPL-2.0+	true	false	false	true	apt	gnome-shell --version	optional	Installed only with --desktop gnome
kde	KDE Plasma	desktop	apt	kde-plasma-desktop	plasmashell	https://kde.org/plasma-desktop	https://invent.kde.org/plasma	GPL-2.0+	true	false	false	true	apt	plasmashell --version	optional	Installed only with --desktop kde
